City,Country,Date,Lat,Long,Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Geraldton,CA,1562334104,49.72,-86.95,68.0,88,5,4.7
Codrington,AU,1562334104,-28.95,153.24,64.4,93,40,5.21
Bluff,AU,1562334104,-23.58,149.07,58.93,89,95,24.47
Jamestown,AU,1562333960,-33.21,138.6,58.03,66,70,14.81
Butaritari,KI,1562334105,3.07,172.79,84.67,68,93,4.56
Hohhot,CN,1562334105,40.81,111.65,62.6,59,40,11.18
Avera,US,1562334105,33.19,-82.53,84.0,88,1,5.82
Fougamou,GA,1562334105,-1.22,10.59,83.95,59,97,6.06
Busselton,AU,1562334106,-33.64,115.35,43.0,71,20,18.81
Port Elizabeth,US,1562334106,39.31,-74.98,84.0,83,90,3.36
New Norfolk,AU,1562334106,-42.78,147.06,41.0,93,20,3.33
Upernavik,GL,1562334106,72.79,-56.15,42.73,71,100,11.01
Passo de Camaragibe,BR,1562334106,-9.24,-35.49,77.0,83,75,8.05
Hasaki,JP,1562334107,35.73,140.83,68.0,94,75,5.82
Hobart,AU,1562334084,-42.88,147.33,41.0,93,20,3.33
Ushuaia,AR,1562334107,-54.81,-68.31,37.4,69,75,3.36
Carnarvon,ZA,1562334107,-30.97,22.13,56.95,19,0,5.17
Caravelas,BR,1562334107,-17.73,-39.27,85.39,60,0,8.57
Hilo,US,1562333623,19.71,-155.08,69.8,83,75,5.82
Rikitea,PF,1562334108,-23.12,-134.97,68.47,69,72,25.37
Berlevag,NO,1562334108,70.86,29.09,46.4,100,75,14.99
Gulabpura,IN,1562334108,25.91,74.66,80.89,74,100,10.25
Punta Arenas,CL,1562334108,-53.16,-70.91,35.6,89,40,8.05
Dikson,RU,1562334108,73.51,80.55,36.97,81,0,14.79
Yellowknife,CA,1562334109,62.45,-114.38,60.8,77,40,5.82
Bredasdorp,ZA,1562334109,-34.53,20.04,63.0,60,0,2.71
Qaanaaq,GL,1562334109,77.48,-69.36,40.57,66,97,4.56
Salalah,OM,1562334109,17.01,54.1,86.0,84,40,13.87
Port Alfred,ZA,1562333625,-33.59,26.89,62.01,71,40,1.99
Bambous Virieux,MU,1562334110,-20.34,57.76,73.99,69,40,5.82
Hofn,IS,1562334110,64.25,-15.21,38.59,89,14,16.73
Bow Island,CA,1562334110,49.87,-111.38,55.4,87,90,6.93
Ponta do Sol,BR,1562334111,-20.63,-46.0,65.23,84,96,11.25
Mar del Plata,AR,1562334111,-46.43,-67.52,38.95,67,100,15.52
Ljungby,SE,1562334111,56.83,13.94,66.2,37,0,13.87
Mataura,NZ,1562333625,-46.19,168.86,48.99,87,100,3.0
Ranong,TH,1562334112,9.96,98.62,83.41,81,100,10.0
Atuona,PF,1562334113,-9.8,-139.03,80.17,79,4,22.66
Meulaboh,ID,1562334113,4.14,96.13,85.03,64,100,2.26
Iqaluit,CA,1562334113,63.75,-68.52,41.0,93,90,10.29
Nikolskoye,RU,1562333626,59.7,30.79,61.0,77,40,13.42
Maceio,BR,1562334024,-9.67,-35.74,77.0,83,75,8.05
Brokopondo,SR,1562334114,5.06,-54.98,78.8,94,75,5.82
Tasiilaq,GL,1562334114,65.61,-37.64,42.55,59,14,2.68
Albany,US,1562333825,42.65,-73.75,82.0,61,40,6.93
Pondicherry,ZA,1562333995,-34.04,18.35,64.0,55,0,9.17
Khatanga,RU,1562333626,71.98,102.47,51.01,58,90,3.74
Raton,US,1562334114,36.9,-104.44,62.6,71,1,5.82
Teguise,ES,1562334115,29.06,-13.56,80.6,57,20,18.34
Grindavik,IS,1562334115,63.84,-22.43,57.2,71,20,17.22
Mecca,SA,1562333827,21.43,39.83,96.55,28,0,13.53
Ribeira Grande,PT,1562334115,38.52,-28.7,69.8,77,40,6.93
Karratha,AU,1562334115,-20.74,116.85,65.41,37,0,12.93
Longyearbyen,NO,1562334116,78.22,15.63,50.0,61,75,25.28
Temax,MX,1562334116,21.15,-88.94,90.43,50,0,3.94
Chokurdakh,RU,1562334117,70.62,147.9,48.49,74,100,8.84
Loding,DE,1562334117,48.05,12.68,82.99,39,40,16.11
Kapaa,US,1562334117,22.08,-159.32,73.4,94,20,8.05
Shrewsbury,US,1562334118,39.77,-76.68,81.0,78,90,6.93
Charagua,BO,1562334118,-19.79,-63.2,50.0,81,90,7.36
Vaini,IN,1562333623,15.34,74.49,73.4,94,90,9.17
Avarua,CK,1562333898,-21.21,-159.78,68.0,82,1,12.75
Gamba,CN,1562334118,28.28,88.52,48.67,48,23,8.5
Padang,ID,1562334119,-0.92,100.36,83.59,79,73,15.28
Esperance,AU,1562334119,-33.86,121.89,44.6,100,90,10.29
Buchanan,LR,1562334120,5.88,-10.05,80.6,83,75,11.41
Bethel,US,1562334120,60.79,-161.76,57.2,100,1,10.29
Guerrero Negro,MX,1562334120,27.97,-114.04,63.97,90,0,10.69
Port-Cartier,CA,1562334120,50.03,-66.88,70.0,68,75,6.93
Saldanha,PT,1562334121,41.42,-6.55,84.85,22,0,10.2
Hithadhoo,MV,1562333623,-0.6,73.08,83.59,76,82,11.65
Russell,US,1562334121,38.9,-98.86,77.0,83,40,6.93
Husavik,CA,1562334121,50.56,-96.99,66.0,70,1,10.71
Cidreira,BR,1562334121,-30.17,-50.22,49.03,54,0,20.96
Rusape,ZW,1562334122,-18.53,32.12,65.77,27,14,6.02
Praia da Vitoria,PT,1562334122,38.73,-27.07,71.6,68,75,7.2
Cache Creek,CA,1562334122,50.81,-121.33,59.0,100,75,4.7
Puerto Ayora,EC,1562334122,-0.74,-90.35,71.6,78,0,6.93
Kaihua,CN,1562334123,29.14,118.41,71.89,96,100,2.1
Ashtabula,US,1562334123,41.87,-80.79,84.0,83,1,5.82
Le Vauclin,MQ,1562334123,14.55,-60.84,86.0,70,75,20.8
Derzhavinsk,KZ,1562334123,51.1,66.31,78.37,43,96,4.56
Susangerd,IR,1562334123,31.56,48.19,113.0,5,0,13.87
Amapa,HN,1562334124,15.09,-87.97,82.99,83,20,5.82
Kruisfontein,ZA,1562334124,-34.0,24.73,54.79,73,2,3.18
Concepcion del Oro,MX,1562334124,24.63,-101.42,65.05,61,94,2.06
Ryotsu,JP,1562334124,38.08,138.43,68.0,88,71,5.82
Narsaq,GL,1562334125,60.91,-46.05,59.0,51,20,3.36
Oranjemund,ZA,1562333901,-28.55,16.43,56.59,83,0,20.6
Bayonet Point,US,1562334125,28.33,-82.68,87.01,78,1,4.7
Yenagoa,NG,1562334125,4.92,6.26,76.03,92,100,5.39
Nanortalik,GL,1562334125,60.14,-45.24,43.99,69,1,4.65
Hermanus,ZA,1562333350,-34.42,19.24,64.0,60,0,1.01
Camiri,BO,1562334126,-20.04,-63.52,50.0,81,90,7.76
Boguchany,RU,1562334126,58.38,97.46,67.57,78,100,5.39
Alofi,NU,1562334126,-19.06,-169.92,73.4,73,75,12.75
Tuktoyaktuk,CA,1562333352,69.44,-133.03,57.2,82,90,10.29
Kaliganj,BD,1562334127,23.41,89.13,83.23,86,100,8.5
Krechevitsy,RU,1562334127,58.62,31.4,51.73,98,100,8.63
Castro,CL,1562334127,-42.48,-73.76,33.8,100,75,1.45
Mahebourg,MU,1562334127,-20.41,57.7,73.99,69,40,5.82
Lagoa,PT,1562334128,37.14,-8.45,75.0,73,0,12.75
Iranshahr,IR,1562334128,27.21,60.69,116.6,6,0,16.11
Guilin,CN,1562334128,25.28,110.29,78.8,94,90,4.47
Chuy,UY,1562334128,-33.69,-53.46,46.87,81,100,26.6
San Andres,PH,1562334128,13.32,122.68,77.47,85,50,3.15
Mitsamiouli,KM,1562334129,-11.38,43.28,82.4,69,75,13.87
Solnechnyy,RU,1562334129,50.72,136.64,60.55,92,87,3.62
Victoria,BN,1562333887,5.28,115.24,80.6,78,75,8.1
Man,CI,1562334129,7.41,-7.55,69.37,99,100,1.63
Nkayi,CG,1562334129,-4.18,13.29,92.59,36,0,2.62
Alexandria,RO,1562333958,43.97,25.33,84.31,49,4,5.14
Bartica,GY,1562334130,6.41,-58.62,80.6,88,75,4.7
Lazaro Cardenas,MX,1562334130,28.39,-105.62,73.0,66,79,0.38
Ambilobe,MG,1562334130,-13.19,49.05,77.29,70,97,1.05
