iso3_code,country,avg_gdp,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,Aruba,2598938547.486034,2745251396.64804,2498882681.56425,2390502793.2960896,2549720670.3910604,2534636871.50838,2581564245.81006,2649720670.3910604,2691620111.7318397,2646927374.30168,2700558659.2178802
AFG,Afghanistan,17671822214.91933,10109218067.7904,12439087076.7667,15856574731.4411,17804280538.1102,20001615788.6719,20561054090.3995,20484873230.2111,19907111418.9938,19362642266.6484,20191764940.1602
AGO,Angola,110435119729.40248,88538611205.1433,70307163678.23799,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.591
ALB,Albania,12434104163.200819,12881353507.8539,12044208085.863998,11926953213.6961,12890866742.6533,12319784886.2038,12776280961.155,13228247844.1247,11386931489.7968,11861352704.87,13025062195.7906
AND,Andorra,3296476762.4189677,4007353156.58415,3660530702.97305,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.3250103,3350736367.25488,2811489408.89431,2877311946.90265,3013387423.93509
ARB,Arab World,2470231992356.5083,2078823967037.02,1796358749934.16,2110062113014.68,2501833645178.18,2787005632800.04,2867265277713.17,2908426366523.66,2557828733470.7,2506038474468.22,2588676963425.26
ARE,United Arab Emirates,347506581383.25385,315474615738.598,253547358747.447,289787338325.391,350666031313.819,374590605854.323,390107556160.654,403137100068.073,358135057862.492,357045064669.84296,382575085091.899
ARG,Argentina,506762894142.7725,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,594749285413.212,557531376217.967,642695864756.35
ARM,Armenia,10568960388.865458,11662040713.8753,8647936747.987041,9260284937.797821,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160.031,11527458565.7334
ASM,American Samoa,626700000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,643000000.0,661000000.0,653000000.0,634000000.0
ATG,Antigua and Barbuda,1290101385.296296,1368431037.03704,1224253000.0,1152469074.07407,1142042925.92593,1211411703.7037,1192919629.62963,1275576777.77778,1359194740.74074,1464630213.3333302,1510084750.74074
AUS,Australia,1300676074461.2056,1053995523724.26,927805183330.879,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351520093185.79,1210028388411.7,1330803227996.08
AUT,Austria,412766419159.36646,430294287388.31104,400172297860.517,391892746544.69,431120310088.82,409425234155.26294,430068712971.867,441996131736.508,381805676697.70703,394052818287.78796,416835975862.194
AZE,Azerbaijan,56289851597.84057,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69683935845.2138,74164435946.4627,75244294275.1498,53074468085.1064,37867518957.1975,40865558912.3867
BDI,Burundi,2438796011.248514,1611835901.9063,1781455092.0711398,2032135246.5000398,2235820867.8274302,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2959185295.3901896,3172416146.3921
BEL,Belgium,498387252134.0119,518625897172.99,484552792442.345,483548031197.108,527008453886.92896,497884216568.867,520925468952.938,530808391525.11,455940347170.37,469677213719.194,494901708704.269
BEN,Benin,8214266284.2922,7132787396.66547,7097198711.6102295,6970240895.498879,7814081155.649879,8152554487.31321,9157355679.70205,9707432015.614408,8291155880.59505,8573159696.6112795,9246696923.66155
BFA,Burkina Faso,10556200541.987013,8369637065.40255,8369175126.2531595,8979966766.07232,10724063457.8326,11166063466.5623,11947176341.9966,12377391462.6377,10419303761.3524,10886363726.8422,12322864244.9183
BGD,Bangladesh,156047547050.96127,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.47801,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249723862487.36102
BGR,Bulgaria,54225806835.6813,54409138498.3548,51884481410.3931,50610058210.3696,57418414504.0882,53903022339.0276,55555171009.772,56814543481.2102,50201314894.5817,53240950226.2443,58220973782.7715
